[2025-03-17 18:00:25,297] 18 root - INFO - Initiate the data ingestion
[2025-03-17 18:00:32,712] 74 root - INFO - Performed train test split on the dataframe
[2025-03-17 18:00:32,712] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-17 18:00:32,712] 84 root - INFO - Exporting train and test file path.
[2025-03-17 18:00:33,038] 93 root - INFO - Exported train and test file path.
[2025-03-17 18:00:33,040] 20 root - INFO - Data Initiation Completed
[2025-03-17 18:00:33,046] 24 root - INFO - Initiate the data Validation
[2025-03-17 18:00:33,260] 25 root - INFO - Required number of columns: 2
[2025-03-17 18:00:33,260] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 18:00:33,261] 25 root - INFO - Required number of columns: 2
[2025-03-17 18:00:33,261] 26 root - INFO - DataFrame has 31 columns
[2025-03-17 18:00:34,231] 28 root - INFO - data Validation Completed
[2025-03-17 18:00:34,232] 32 root - INFO - data Transformation started
